code,criterion,max_points,anchor_high,anchor_mid,anchor_low,zero_rule
C1,Специализация под фулфилмент и e-commerce,18,"16-18: продукт прямо создан для фулфилмента/селлеров/marketplace e-commerce","10-15: сильный e-commerce/3PL профиль, но продукт шире","1-9: универсальная или промышленная WMS без сильного seller-facing профиля","0: профильная пригодность не подтверждена"
C2,"FBO/FBS, интеграции и единый сток",14,"12-14: FBO+FBS и несколько маркетплейсов, синхронизация заказов/остатков, единый физический сток или эквивалент","7-11: FBO/FBS или marketplace-интеграции подтверждены частично","1-6: работа с маркетплейсами возможна через проектную интеграцию","0: не подтверждено"
C3,Личный кабинет клиента и биллинг,14,"12-14: кабинет клиента + индивидуальные тарифы + автоматические начисления/счета","7-11: есть кабинет или биллинг, но связка неполная","1-6: отдельные 3PL/ответственное хранение без seller-facing контура","0: не подтверждено"
C4,Полный складской цикл,12,"11-12: приемка, размещение, пополнение, отбор, упаковка, отгрузка, возвраты/инвентаризация","7-10: основной цикл закрыт, часть операций слабее раскрыта","1-6: только часть физического цикла","0: не подтверждено"
C5,"ТСД, штрихкоды и контроль ошибок",10,"9-10: ТСД/Android на основных операциях, сканирование ячеек и товара, блокировки ошибок","6-8: ТСД и штрихкоды есть, контроль описан частично","1-5: сканирование присутствует точечно","0: не подтверждено"
C6,Маркировка и сложный учет,8,"7-8: Честный знак/DataMatrix + партии/серии/сроки/комплекты или несколько сложных сценариев","4-6: маркировка или сложный учет подтверждены частично","1-3: базовые штрихкоды без глубокой прослеживаемости","0: не подтверждено"
C7,"Масштабирование, API и несколько складов",8,"7-8: API + multiwarehouse/высокие лимиты/on-premise/интеграционная архитектура","4-6: API и масштабирование есть, но ограничения раскрыты не полностью","1-3: масштабирование в основном проектное","0: не подтверждено"
C8,Внедрение и поддержка,6,"5-6: демо/пилот + onboarding/обучение + понятная поддержка/SLA или зрелое проектное внедрение","3-4: запуск и поддержка подтверждены, но без четких SLA","1-2: только заявка на внедрение","0: не подтверждено"
C9,Прозрачность цены,5,"5: опубликованы актуальные тарифы или формула стоимости","3-4: есть частичные ориентиры или цена базовой подписки","1-2: только индивидуальный расчет","0: цена не раскрыта"
C10,Кейсы и внешние подтверждения,5,"5: несколько сильных публичных внедрений и внешних подтверждений","3-4: собственные кейсы/реестры/активная история внедрений","1-2: мало свежих публичных кейсов","0: подтверждений почти нет"
