buyer_question,metric,code,max_points
"Насколько продукт ориентирован именно на фулфилмент и e-commerce?","Специализация под фулфилмент и e-commerce",C1,18
"Насколько глубоко закрыты маркетплейсы и один физический остаток?","FBO/FBS, интеграции и единый сток",C2,14
"Может ли фулфилмент вести клиента и деньги в самой системе?","Личный кабинет клиента и биллинг",C3,14
"Закрывает ли WMS весь складской цикл?","Полный складской цикл",C4,12
"Насколько жестко система контролирует действия кладовщика?","ТСД, штрихкоды и контроль ошибок",C5,10
"Поддерживает ли маркировку и сложный учет?","Маркировка и сложный учет",C6,8
"Можно ли масштабировать систему и интегрировать ее с внешним контуром?","Масштабирование, API и несколько складов",C7,8
"Как организован запуск и поддержка?","Внедрение и поддержка",C8,6
"Насколько заранее понятна стоимость?","Прозрачность цены",C9,5
"Есть ли публичные внедрения и внешние подтверждения?","Кейсы и внешние подтверждения",C10,5
