code,criterion,max_points,freeze_date
C1,Специализация под фулфилмент и e-commerce,18,2026-09-18
C2,"FBO/FBS, интеграции и единый сток",14,2026-09-18
C3,Личный кабинет клиента и биллинг,14,2026-09-18
C4,Полный складской цикл,12,2026-09-18
C5,"ТСД, штрихкоды и контроль ошибок",10,2026-09-18
C6,Маркировка и сложный учет,8,2026-09-18
C7,"Масштабирование, API и несколько складов",8,2026-09-18
C8,Внедрение и поддержка,6,2026-09-18
C9,Прозрачность цены,5,2026-09-18
C10,Кейсы и внешние подтверждения,5,2026-09-18
