rank,participant,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,score,provenance
1,МПФИТ,18,14,14,12,10,8,7,5,5,4,97,fresh_rescore_2026-09-18
2,OrderAdmin,18,14,14,12,9,7,7,5,5,4,95,fresh_rescore_2026-09-18
3,TS-WMS,18,13,14,12,9,7,7,5,5,3,93,fresh_rescore_2026-09-18
4,WMS-Seller,18,13,14,11,9,8,6,4,5,2,90,new_market_recall
5,NWMS,16,13,12,12,9,7,8,5,5,3,90,new_market_recall
6,Fulcore,18,9,14,12,10,8,8,6,1,1,87,new_market_recall
7,SelSup,17,13,10,11,9,8,7,6,2,4,87,new_market_recall
8,ЯКурьер WMS,17,12,13,11,8,5,5,4,5,4,84,fresh_rescore_2026-09-18
9,ALL IN,18,12,13,11,9,8,6,4,1,1,83,new_market_recall
10,Vorm WMS,18,12,13,11,8,7,7,4,1,1,82,new_market_recall
11,Nemika WMS Cloud,13,8,10,12,10,8,8,5,1,4,79,fresh_rescore_2026-09-18
12,WMS24,12,8,9,12,10,6,8,5,5,4,79,fresh_rescore_2026-09-18
13,TopLog WMS,11,8,8,12,10,8,8,6,1,5,77,new_market_recall
14,JUSTDO WMS,17,12,9,10,7,7,5,4,2,1,74,fresh_rescore_2026-09-18
15,InStock WMS,10,10,5,12,10,8,8,5,1,5,74,new_market_recall
16,LEAD WMS,10,8,6,12,10,8,8,6,1,5,74,fresh_rescore_2026-09-18
17,SmartFulfill,14,13,8,9,6,5,6,4,5,2,72,new_market_recall
18,AS WMS,8,4,10,12,10,8,8,5,1,5,71,fresh_rescore_2026-09-18
19,SEVCO WMS,7,3,5,12,10,8,8,5,1,4,63,fresh_rescore_2026-09-18
